Code,Name,Category Code,Unit,Size,Cost,Price,Alert Quantity, Tax Rate Name
BS-00643913,Door hinge kit,C1,box,NA,114.29,171.43,2,GST
SE-SE213,DOOR HINGE OVEN,C1,box,NA,15,26.36,2,GST
ED-50223858-00/7,DOOR HINGES,C1,box,NA,157.3,218.18,2,GST
ED-FC98D005B8,DOOR HINGES,C1,box,NA,50,82.5,2,GST
EN-931330551,DOOR HINGES,C1,box,NA,33.75,53.63,2,GST
GLO-03040078,Door Hinges,C1,box,NA,28.2,62.72,2,GST
GLO-031199009912R,Door Hinges,C1,box,NA,23.5,35.45,2,GST
GLO-031199009930R,DOOR HINGES,C1,box,NA,46.81,89.09,2,GST
SE-SE213AF,DOOR HINGES (ELECTROLUX),C1,box,NA,35,35.45,2,GST
PR-12600030,DOOR HINGES BAUMATIC,C1,box,NA,98,98,2,GST
BSH-00640012,Door Hinges Bosch Oven,C1,box,NA,31.49,45.54,2,GST
BWG-481228058044,DOOR INTERLOCK,C1,box,NA,999,89.09,2,GST
FP-427225P,Door Kit Assembly,C1,box,NA,26.25,52.72,2,GST
AR-A195887,DOOR LATCH,C1,box,NA,999,35.45,2,GST
DS-673001800214,DOOR LATCH,C1,box,NA,26.36,26.36,2,GST
QT-4027ED3002B,DOOR LATCH ASSY,C1,box,NA,44,44.54,2,GST
QT-4027FD3621S,DOOR LATCH ASSY,C1,box,NA,62,62.72,2,GST
SAM-DC97-05111A,DOOR LATCH F/LOADER,C1,box,NA,44,44.54,2,GST
QT-DC64-01538A,DOOR LOCK SAMSUNG,C1,box,NA,69,69,2,GST
HO12G6050032,DOOR MICROSWITCH,C1,box,NA,14.69,62.72,2,GST
NS-0038002840,DOOR OVEN GLASS OUTER SS,C1,box,NA,77.27,115.9,2,GST
AR-A091946,DOOR SEAL,C1,box,NA,48.75,72.72,2,GST
AR-A141317,DOOR SEAL,C1,box,NA,11.67,26.36,2,GST
ED-FCA7A001AZ,DOOR SEAL,C1,box,NA,43.89,71.81,2,GST
EN-090148009902R,DOOR SEAL,C1,box,NA,41,62.72,2,GST
NS-0208003469,DOOR SEAL,C1,box,NA,30,53.63,2,GST
NS-0208400158G,DOOR SEAL,C1,box,NA,21.81,35.45,2,GST
QT-4986EN1003A,Door Seal,C1,box,NA,48,71.81,2,GST
QT-DWS026,DOOR SEAL,C1,box,NA,35,35.45,2,GST
BSH-056510,DOOR SEAL BOSCH/SIMENS,C1,box,NA,999,999,2,GST
